symbol,prevprice,currprice,diffP
CGBD,7.675,7.89,2.8
SLRC,14.65,15.06,2.8
EPS.PA,5.72,5.88,2.8
NSI.AS,35.7,36.7,2.8
DGZ,10.9539,11.26,2.79
FPR.TO,17.22,17.7,2.79
AGLE,7.56,7.77,2.78
TECTP,9.0,9.25,2.78
ALTVO.PA,28.8,29.6,2.78
POM.TO,0.36,0.37,2.78
CGG.PA,1.119,1.15,2.77
ALEMV.PA,1.265,1.3,2.77
HBD.TO,7.62,7.83,2.76
OBSV,2.55,2.62,2.75
KCAPL,20.06,20.61,2.74
KLS.TO,0.73,0.75,2.74
SPXS,9.9,10.17,2.73
IRIX,1.83,1.88,2.73
MSF.BR,174.5,179.26,2.73
PBFS,10.3,10.58,2.72
LAS-A.TO,137.04,140.77,2.72
CYRN,0.96,0.986,2.71
VQT,175.0,179.75,2.71
YXI,18.54,19.04,2.7
ALAQU.PA,5.55,5.7,2.7
GLPG.AS,196.2,201.5,2.7
OIS,3.35,3.44,2.69
NC,34.23,35.15,2.69
GEC,1.86,1.91,2.69
KDS.AS,1.86,1.91,2.69
LBY,1.12,1.15,2.68
IGIH,20.895,21.455,2.68
ALHRG.PA,22.4,23.0,2.68
METX,11.56,11.87,2.68
TRXC,0.4039,0.4147,2.67
POLA,1.5,1.54,2.67
DJPY,21.4275,22.0,2.67
OXLCP,18.75,19.25,2.67
PFIE,0.755,0.775,2.65
CNFR,3.77,3.87,2.65
ARCH,28.44,29.19,2.64
HEBT,9.47,9.72,2.64
JP,1.14,1.17,2.63
LCAHW,0.38,0.39,2.63
ONC.TO,2.28,2.34,2.63
GUSH,40.1,41.15,2.62
PLM,0.2785,0.2858,2.62
GCC,14.52,14.9,2.62
NRGD,29.1562,29.9215,2.62
ACST,0.5945,0.61,2.61
ITRM,3.45,3.54,2.61
SDI,12.62,12.95,2.61
AJXA,21.52,22.08,2.6
WK,37.38,38.35,2.59
ZFGN,0.7847,0.805,2.59
CVET,11.59,11.89,2.59
TDA,23.26,23.86,2.58
LGL,9.7,9.95,2.58
CCI,155.44,159.43,2.57
MAYS,20.5615,21.09,2.57
RILYG,22.27,22.84,2.56
ASEA,11.7,12.0,2.56
DLPNW,0.039,0.04,2.56
PDLB,8.98,9.21,2.56
PLG,1.56,1.6,2.56
ALPHA.PA,3.9,4.0,2.56
MAW.TO,0.39,0.4,2.56
AIC,20.75,21.2809,2.56
UXIN,1.57,1.61,2.55
DIVY,19.29,19.78,2.54
RILYP,21.29,21.83,2.54
DRTT,1.18,1.21,2.54
TYME,1.58,1.62,2.53
MIME,39.89,40.9,2.53
DMAC,3.95,4.05,2.53
ADYEN.AS,879.0,901.2,2.53
EYEN,3.57,3.66,2.52
DGE.PA,31.7,32.5,2.52
MUR,11.57,11.86,2.51
TDJ,23.9,24.5,2.51
SONO,9.97,10.22,2.51
GAZ,20.145,20.6498,2.51
PTEN,3.6,3.69,2.5
FNJN,1.2,1.23,2.5
UEUR,13.6667,14.009,2.5
ASY.PA,20.0,20.5,2.5
DNG.TO,1.6,1.64,2.5
NVA.TO,0.8,0.82,2.5
ODC,36.48,37.39,2.49
MTU.PA,13.66,14.0,2.49
SALT,25.01,25.63,2.48
BWEN,1.61,1.65,2.48
ALLO,28.2,28.9,2.48
OCCIP,20.55,21.06,2.48
PT,1.21,1.24,2.48
LMNX,35.18,36.05,2.47
LEE,0.8942,0.9163,2.47
JAGX,0.445,0.456,2.47
EOSI.PA,1.376,1.41,2.47
HDGE,5.69,5.83,2.46
RA,16.26,16.66,2.46
PHUN,0.7076,0.725,2.46
PSCE,3.26,3.34,2.45
TOT.TO,1.63,1.67,2.45
CUBA,3.69,3.78,2.44
FUE,4.92,5.04,2.44
DXD,21.79,22.32,2.43
FLOW.AS,29.68,30.4,2.43
COFB.BR,124.0,127.0,2.42
DVAX,4.15,4.25,2.41
FAT,3.32,3.4,2.41
FCG,7.49,7.67,2.4
RJI,3.33,3.41,2.4
DBA,13.37,13.69,2.39
CLBS,2.09,2.14,2.39
MCEP,2.93,3.0,2.39
MSC,15.51,15.88,2.39
OPP,13.0,13.31,2.38
JJS,32.9566,33.74,2.38
KTN,29.8,30.51,2.38
MGF,4.62,4.73,2.38
ALBKK.PA,8.4,8.6,2.38
PREC.PA,168.0,172.0,2.38
SMCP.PA,4.2,4.3,2.38
CHD,68.37,69.99,2.37
REKR,3.8,3.89,2.37
RBKB,7.18,7.35,2.37
MAGS,2.96,3.03,2.36
HOLX,48.95,50.1,2.35
TENX,0.6399,0.6549,2.34
EON.BR,8.89,9.098,2.34
AEFC,23.46,24.01,2.34
FRBK,2.57,2.63,2.33
BELFB,7.29,7.46,2.33
BIS,9.9429,10.1742,2.33
SNOW.AS,12.9,13.2,2.33
DHCNL,18.44,18.87,2.33
ORMP,3.02,3.09,2.32
FXNC,15.6,15.96,2.31
BDI.TO,1.3,1.33,2.31
VIVO,11.73,12.0,2.3
SRS,18.27,18.69,2.3
SAFM,133.09,136.14,2.29
WATT,2.18,2.23,2.29
UAG,13.545,13.855,2.29
HZO,14.09,14.41,2.27
SAL,33.0,33.75,2.27
WVVIP,4.4491,4.55,2.27
IMDA.PA,62.0,63.4,2.26
VTGN,0.4303,0.44,2.25
IMMOU.BR,44.4,45.4,2.25
PBF,11.15,11.4,2.24
HZNP,35.25,36.04,2.24
SEF,20.96,21.43,2.24
CAR-UN.TO,46.85,47.9,2.24
ZIONP,20.54,21.0,2.24
JILL,0.4455,0.4554,2.22
CFBK,11.72,11.98,2.22
NXE.TO,1.8,1.84,2.22
RWDE,45.913,46.9323,2.22
GAIN,10.87,11.11,2.21
UGBP,14.832,15.16,2.21
CRNT,2.27,2.32,2.2
NHA,9.54,9.75,2.2
WEB.BR,49.9,51.0,2.2
BLU.TO,12.71,12.99,2.2
FRBA,7.75,7.92,2.19
TFF.PA,27.4,28.0,2.19
MRD.TO,6.84,6.99,2.19
FCNCP,24.65,25.19,2.19
PRCP,2.75,2.81,2.18
ANY,0.92,0.94,2.17
UONEK,0.83,0.848,2.17
JRSH,4.6,4.7,2.17
IBHB,22.8048,23.3,2.17
LNF.TO,12.97,13.25,2.16
PASS,9.77,9.98,2.15
CYRXW,16.73,17.09,2.15
JOUT,66.93,68.36,2.14
CBSM.PA,7.0,7.15,2.14
SIOE.BR,18.75,19.15,2.13
CNSL,6.14,6.27,2.12
CLS.TO,8.51,8.69,2.12
RPI-UN.TO,44.9,45.85,2.12
AAPL,287.73,293.8,2.11
BYFC,1.42,1.45,2.11
TMSR,1.9,1.94,2.11
MMT.PA,9.95,10.16,2.11
PARR,9.52,9.72,2.1
KNSA,19.54,19.95,2.1
XPL,0.27495,0.2807,2.09
NHS,9.55,9.75,2.09
BL,59.5,60.74,2.08
BCTF,10.1094,10.32,2.08
SBM,18.0,18.375,2.08
VIL.PA,4.8,4.9,2.08
BBD-B.TO,0.48,0.49,2.08
PSY.TO,21.6,22.05,2.08
CPZ,14.92,15.23,2.08
AXO,23.5118,24.0,2.08
XAN,2.9,2.96,2.07
SSSS,6.29,6.42,2.07
SPIE.PA,13.5,13.78,2.07
FR.PA,20.74,21.17,2.07
ECN.TO,3.87,3.95,2.07
TMR.TO,1.45,1.48,2.07
LNG,45.69,46.63,2.06
MKGI,1.0778,1.1,2.06
DMLP,12.15,12.4,2.06
PAK,23.33,23.81,2.06
RSF,15.04,15.35,2.06
MIKO.BR,97.0,99.0,2.06
CFX.TO,6.8,6.94,2.06
EBAY,39.03,39.83,2.05
ORP.PA,99.46,101.5,2.05
Y.TO,9.25,9.44,2.05
PMBC,3.93,4.01,2.04
ATXI,9.31,9.5,2.04
ALNN6.PA,0.686,0.7,2.04
FALG.PA,1.076,1.098,2.04
TARA,24.01,24.5,2.04
ATCXW,0.49,0.5,2.04
SCM,7.87,8.03,2.03
UZA,24.59,25.09,2.03
EUM,18.8,19.18,2.02
DSL,12.89,13.15,2.02
TGLS,3.96,4.04,2.02
ASFI,11.36,11.59,2.02
COOP,9.39,9.58,2.02
ITP.TO,13.39,13.66,2.02
ARG.PA,69.6,71.0,2.01
IPHA,7.45,7.6,2.01
INBKZ,22.42,22.87,2.01
TGEN,1.0,1.02,2.0
OBAS,10.5,10.71,2.0
COH.PA,2.0,2.04,2.0
HEXA.PA,25.0,25.5,2.0
CHPMU,10.0,10.2,2.0
OPGNW,25.0,25.5,2.0
NOK,3.51,3.58,1.99
ALGEV.PA,151.0,154.0,1.99
DXM.TO,8.54,8.71,1.99
SPSC,54.43,55.51,1.98
ERYP.PA,9.61,9.8,1.98
PHG,43.06,43.91,1.97
LPCN,0.543,0.5537,1.97
LMRKP,22.5,22.94,1.96
MBWBT.PA,0.0102,0.0104,1.96
TBT,15.38,15.68,1.95
FAUS,21.7495,22.1743,1.95
AFGC,24.65,25.13,1.95
ZN,0.2572,0.2622,1.94
CNV.PA,3.1,3.16,1.94
LBIRD.PA,10.3,10.5,1.94
NFLX,411.89,419.85,1.93
NERV,8.8,8.97,1.93
FRAK,62.867,64.08,1.93
LFDE.PA,15.55,15.85,1.93
ELV.TO,16.06,16.37,1.93
GDDY,68.12,69.43,1.92
MDB,159.07,162.13,1.92
ERF.PA,495.5,505.0,1.92
IGMS,53.74,54.77,1.92
CRAI,41.34,42.13,1.91
EFZ,27.27,27.79,1.91
AEB,21.49,21.9,1.91
SRL,8.63,8.7948,1.91
ADOC.PA,8.92,9.09,1.91
TKO.PA,20.9,21.3,1.91
ACRX,1.58,1.61,1.9
MGEN,0.61,0.6216,1.9
PIXY,5.79,5.9,1.9
ORCC,12.66,12.9,1.9
SIGA,5.8,5.91,1.9
COFA.PA,5.26,5.36,1.9
ACD.TO,5.25,5.35,1.9
BEN,18.49,18.84,1.89
REGN,516.15,525.88,1.89
CNAT,0.3499,0.3565,1.89
CAF,19.0,19.36,1.89
SES,3.18,3.24,1.89
USATP,26.5,27.0,1.89
XERS,2.65,2.7,1.89
SELER.PA,79.5,81.0,1.89
CS.TO,0.53,0.54,1.89
VC,59.19,60.3,1.88
VCRA,18.61,18.96,1.88
DBC,10.7,10.9,1.87
FAM,9.09,9.26,1.87
IRS,3.23,3.29,1.86
BKEPP,5.39,5.49,1.86
FUNC,15.07,15.35,1.86
ALHIT.PA,16.1,16.4,1.86
KENDR.AS,10.76,10.96,1.86
DRM.TO,8.61,8.77,1.86
ECF-UN.TO,8.08,8.23,1.86
CHAD,28.06,28.58,1.85
PCYG,4.87,4.96,1.85
BKSC,16.25,16.55,1.85
GJS,18.3705,18.71,1.85
BPYPO,21.08,21.47,1.85
PHCF,2.16,2.2,1.85
DARE,1.09,1.11,1.83
STRN.AS,8.74,8.9,1.83
WB,36.86,37.53,1.82
TEXF.BR,33.0,33.6,1.82
SPT,16.52,16.82,1.82
VTA.AS,3.85,3.92,1.82
TOPS,0.221,0.225,1.81
TEAM,152.73,155.49,1.81
FUD,13.83,14.08,1.81
HSD.TO,9.94,10.12,1.81
DQ,51.21,52.13,1.8
USNA,87.64,89.22,1.8
SKYS,1.68,1.71,1.79
CGT.TO,0.14,0.1425,1.79
SDS,22.49,22.89,1.78
IDXX,272.74,277.6,1.78
PLL,6.19,6.3,1.78
CDA.PA,16.82,17.12,1.78
INCY,95.96,97.66,1.77
SNCR,3.39,3.45,1.77
PDBC,11.28,11.48,1.77
VII.TO,2.83,2.88,1.77
NGHCN,22.75,23.15,1.76
VCIF,9.1,9.26,1.76
VRAP.PA,14.2,14.45,1.76
HEX.TO,5.1,5.19,1.76
RNST,25.78,26.23,1.75
NTIC,8.0,8.14,1.75
PPIH,5.7,5.8,1.75
MYOS,1.14,1.16,1.75
ZMT.TO,28.56,29.06,1.75
CHGG,42.02,42.75,1.74
VXZ,32.11,32.67,1.74
WLTW,175.26,178.29,1.73
CKPT,1.73,1.76,1.73
AIRI,1.1599,1.18,1.73
PSF,26.0,26.45,1.73
WDP.BR,24.575,25.0,1.73
CIICU,9.85,10.02,1.73
LBTYK,18.0,18.31,1.72
UGA,12.22,12.43,1.72
UCI,10.38,10.5575,1.71
TPL,560.05,569.65,1.71
NYMTO,18.15,18.46,1.71
BDC,33.62,34.19,1.7
MYOV,11.78,11.98,1.7
CNXN,45.18,45.95,1.7
COHN,4.11,4.18,1.7
SOYB,13.54,13.77,1.7
RFP,2.37,2.41,1.69
CFBI,7.0507,7.17,1.69
CYCCP,5.9,6.0,1.69
NGHCP,22.657,23.04,1.69
QRHC,1.18,1.2,1.69
NTG.PA,0.826,0.84,1.69
VIRP.PA,177.0,180.0,1.69
UNH,287.65,292.47,1.68
PFLT,7.13,7.25,1.68
NMFX,22.58,22.96,1.68
VIOT,5.94,6.04,1.68
BRBS,15.5,15.76,1.68
TRVG,1.8,1.83,1.67
HWO.TO,0.6,0.61,1.67
ISSC,4.22,4.29,1.66
NSS,18.77,19.08,1.65
LHN.PA,37.63,38.25,1.65
MLOSA.PA,2.42,2.46,1.65
IIF,14.05,14.28,1.64
PMX,10.38,10.55,1.64
BANFP,26.91,27.35,1.64
WSTG,15.25,15.5,1.64
FFP.PA,61.0,62.0,1.64
CLS,6.13,6.23,1.63
ICLK,4.3,4.37,1.63
NSPR,0.7482,0.7604,1.63
MANU,16.54,16.81,1.63
EVOP,19.59,19.91,1.63
MLCMB.PA,123.0,125.0,1.63
TRVN,0.7282,0.74,1.62
CELH,4.94,5.02,1.62
FTGC,14.175,14.405,1.62
ORAP.PA,7.42,7.54,1.62
LDVAX,21.04,21.38,1.62
PODD,196.55,199.72,1.61
PXE,9.95,10.11,1.61
DDG,30.4481,30.9377,1.61
ESM.TO,0.31,0.315,1.61
FCU.TO,0.31,0.315,1.61
CMSA,26.33,26.75,1.6
QUMU,2.5,2.54,1.6
DOGS,32.4,32.9181,1.6
PCK,8.17,8.3,1.59
PCTY,112.75,114.53,1.58
HELE,161.73,164.28,1.58
BHK,14.52,14.75,1.58
TXT-UN.TO,1.9,1.93,1.58
SUI,132.32,134.4,1.57
PTVCA,18.5,18.79,1.57
CIR,14.7,14.93,1.56
NIM,9.6,9.75,1.56
NEWTI,23.24,23.6,1.55
BIO-B,435.48,442.21,1.55
ARGX.BR,135.4,137.5,1.55
CAS.PA,1.93,1.96,1.55
HYD,53.92,54.75,1.54
AFINP,19.61,19.91,1.53
VLTSA.PA,14.36,14.58,1.53
MNTX,3.94,4.0,1.52
TECS,33.0,33.5,1.52
CNR,5.25,5.33,1.52
TALO,11.22,11.39,1.52
BLU,9.2,9.34,1.52
CBAT,0.48,0.4873,1.52
ALESK.PA,105.0,106.6,1.52
IBS.LS,3.95,4.01,1.52
BXMT,23.18,23.53,1.51
PFN,7.96,8.08,1.51
PML,11.94,12.12,1.51
GRU,2.805,2.8473,1.51
GSX,38.97,39.56,1.51
WPK.TO,45.66,46.35,1.51
AMGN,235.69,239.22,1.5
ASND,133.72,135.73,1.5
GPJA,26.1481,26.54,1.5
MESO,10.975,11.14,1.5
THGA,25.25,25.63,1.5
HUYA,15.99,16.23,1.5
REMX,30.9,31.36,1.49
MARPS,1.34,1.36,1.49
NFE,12.74,12.93,1.49
ALADM.PA,0.67,0.68,1.49
MUTE,9.4,9.54,1.49
ORSN,10.04,10.19,1.49
CELP,5.4,5.48,1.48
GRBK,8.78,8.91,1.48
EXPR,2.04,2.07,1.47
UTHR,107.97,109.56,1.47
ARW,62.01,62.92,1.47
ECOM,10.18,10.33,1.47
YI,7.49,7.6,1.47
ANDAU,10.2,10.35,1.47
DOYU,7.48,7.59,1.47
R,34.89,35.4,1.46
IBND,32.14,32.61,1.46
SOHO,2.05,2.08,1.46
ARMP,3.4201,3.47,1.46
EC.PA,102.5,104.0,1.46
GHIVU,10.3,10.45,1.46
BA,139.0,141.02,1.45
GUT,6.88,6.98,1.45
OPOF,15.88,16.11,1.45
USIO,1.38,1.4,1.45
ALBLD.PA,6.9,7.0,1.45
RNG,225.28,228.53,1.44
GTS,16.69,16.93,1.44
GTIM,0.8621,0.8745,1.44
FBEL.PA,278.0,282.0,1.44
ALCES.PA,0.139,0.141,1.44
AMHCU,9.9365,10.08,1.44
ROKU,119.52,121.23,1.43
OXLC,4.9,4.97,1.43
IRCP,6.3,6.39,1.43
ITCB,4.21,4.27,1.43
ALCOI.PA,10.5,10.65,1.43
PAE,8.37,8.49,1.43
PBH,40.12,40.69,1.42
TME,11.25,11.41,1.42
JKHY,161.28,163.55,1.41
IROQ,16.27,16.5,1.41
ULE,12.7484,12.9283,1.41
CSTL,30.5,30.93,1.41
OMER,16.39,16.62,1.4
OMAB,28.64,29.04,1.4
EPRF,23.255,23.58,1.4
HGLB,5.0,5.07,1.4
GSKY,4.28,4.34,1.4
CVE,3.59,3.64,1.39
AB,23.1,23.42,1.39
NVIV,1.44,1.46,1.39
IEP,51.09,51.8,1.39
ARE.TO,15.08,15.29,1.39
WEBS,11.2651,11.42,1.38
ODP,2.19,2.22,1.37
HMI,12.45,12.62,1.37
GRVY,39.42,39.96,1.37
GECCM,16.75,16.98,1.37
HYXU,45.7904,46.42,1.37
BPYPN,19.73,20.0,1.37
XOP,53.63,54.36,1.36
CLX,183.93,186.44,1.36
NIB,27.9,28.28,1.36
AIW,22.0,22.3,1.36
RBCN,8.08,8.19,1.36
SSKN,1.47,1.49,1.36
QRF.BR,11.0,11.15,1.36
VIR,30.1,30.51,1.36
LMRKN,22.05,22.35,1.36
RAIL,1.48,1.5,1.35
EDF,5.94,6.02,1.35
SIFG.AS,9.65,9.78,1.35
PFLD,22.89,23.1998,1.35
ENBL,4.48,4.54,1.34
AKTS,8.94,9.06,1.34
CIIC,9.72,9.85,1.34
ZEN,75.87,76.88,1.33
GNCA,2.25,2.28,1.33
MRLN,10.5,10.64,1.33
ENJ,25.2201,25.555,1.33
COMT,21.76,22.05,1.33
RCE.TO,19.59,19.85,1.33
VIVE,0.6139,0.622,1.32
YCS,72.95,73.91,1.32
CPHC,9.85,9.98,1.32
WEA,12.12,12.28,1.32
SX.PA,3.8,3.85,1.32
PBY-UN.TO,9.86,9.99,1.32
MINDX,17.44,17.67,1.32
DJCB,11.035,11.1806,1.32
EA,112.78,114.26,1.31
SPH,15.25,15.45,1.31
BTAL,24.5,24.82,1.31
VRML,1.53,1.55,1.31
DOCU,103.4,104.75,1.31
LACR.PA,19.15,19.4,1.31
CGGBS.PA,0.1525,0.1545,1.31
TRQ,0.4985,0.505,1.3
CLIX,64.72,65.56,1.3
CPAA,10.5134,10.65,1.3
MIDNX,17.66,17.89,1.3
YGRN,55.0864,55.8002,1.3
DFPHU,10.0,10.13,1.3
NTRA,36.57,37.04,1.29
SGMA,3.11,3.15,1.29
UNL,8.5,8.61,1.29
ADBE,349.17,353.64,1.28
NSCO,2.34,2.37,1.28
ASP.PA,2.34,2.37,1.28
ALMDG.PA,39.0,39.5,1.28
GNLN,3.16,3.2,1.27
CMO.PA,93.81,95.0,1.27
XFAB.PA,3.14,3.18,1.27
NWGI,3.95,4.0,1.27
BIDU,99.67,100.93,1.26
ARC,0.6913,0.7,1.26
TTGT,23.03,23.32,1.26
CPTAG,19.1,19.34,1.26
UZC,25.36,25.68,1.26
MNRL,12.73,12.89,1.26
PMB-UN.TO,7.15,7.24,1.26
CEPU,2.4,2.43,1.25
DJP,16.03,16.23,1.25
RDIB,16.0001,16.2,1.25
XFLT,4.81,4.87,1.25
GMAB,24.03,24.33,1.25
YCOM,23.47,23.763,1.25
PCG,10.51,10.64,1.24
CYAD,8.88,8.99,1.24
IHC,27.32,27.66,1.24
VTSI,2.42,2.45,1.24
AF.PA,4.59,4.647,1.24
ZPL.TO,17.68,17.9,1.24
AYTU,1.62,1.64,1.23
AZZ,31.01,31.39,1.23
JASN,0.13,0.1316,1.23
GOF,15.41,15.6,1.23
APXT,9.77,9.89,1.23
RILYN,20.25,20.5,1.23
DRT.TO,1.64,1.66,1.22
AON,170.61,172.67,1.21
BIT,13.27,13.43,1.21
DOG,51.17,51.79,1.21
CDXC,4.94,5.0,1.21
BANX,16.55,16.75,1.21
IRMD,21.5,21.76,1.21
NBN,16.55,16.75,1.21
BEDU,6.67,6.75,1.2
CHNR,0.998,1.01,1.2
NRG.PA,5.0,5.06,1.2
AIM.TO,2.49,2.52,1.2
CAAP,2.52,2.55,1.19
VEEV,188.55,190.8,1.19
AWRE,2.52,2.55,1.19
SCU.TO,0.84,0.85,1.19
SJIJ,25.16,25.46,1.19
HUM,377.38,381.82,1.18
GPRK,9.36,9.47,1.18
NRO,3.4,3.44,1.18
BLPH,14.805,14.98,1.18
VGI,10.18,10.3,1.18
SBFG,14.43,14.6,1.18
XIN,2.57,2.6,1.17
FALN,24.6222,24.9109,1.17
ELLO,20.53,20.77,1.17
SPPP,13.7,13.86,1.17
EL.PA,111.35,112.65,1.17
OKTA,149.56,151.3,1.16
NCZ,3.46,3.5,1.16
EVOL,0.85,0.8599,1.16
COMB,18.07,18.2792,1.16
EVG,11.19,11.32,1.16
FSEA,6.04,6.11,1.16
AGNCP,21.51,21.76,1.16
BTE,0.3213,0.325,1.15
BN.PA,62.54,63.26,1.15
LEAS.BR,86.6,87.6,1.15
RME.TO,4.35,4.4,1.15
ULTR,48.89,49.45,1.15
DXR,15.74,15.92,1.14
RXD,13.9272,14.0855,1.14
CMLS,4.38,4.43,1.14
BTE.TO,0.44,0.445,1.14
WEAT,5.3,5.36,1.13
RIGS,23.08,23.34,1.13
FSL.TO,16.81,17.0,1.13
CLUB,0.5897,0.5963,1.12
GRAM,1.78,1.8,1.12
BOSC,1.79,1.81,1.12
HYND,14.27,14.43,1.12
ALYA,1.79,1.81,1.12
XTD.TO,2.68,2.71,1.12
IRBT,60.29,60.96,1.11
OCSI,6.33,6.4,1.11
EDI,6.29,6.36,1.11
BJ,26.02,26.31,1.11
PARP.PA,18.0,18.2,1.11
CRF,9.11,9.21,1.1
AREC,0.91,0.92,1.1
CRAV.PA,136.5,138.0,1.1
ALDLS.PA,9.06,9.16,1.1
ZLC.TO,19.04,19.25,1.1
HNL.TO,0.455,0.46,1.1
MBK-UN.TO,6.35,6.42,1.1
SCCB,20.92,21.15,1.1
PEGA,82.72,83.62,1.09
BST,32.92,33.28,1.09
FSFG,42.97,43.44,1.09
HYDB,45.05,45.54,1.09
RCO.PA,100.7,101.8,1.09
FPH,5.58,5.64,1.08
CDMOP,23.25,23.5,1.08
STND,25.03,25.3,1.08
XPF.TO,14.79,14.95,1.08
LAC.TO,4.64,4.69,1.08
CMDY,36.0,36.39,1.08
PME,0.9497,0.9599,1.07
ALIDS.PA,56.2,56.8,1.07
LGOV,29.385,29.7,1.07
LPG,9.39,9.49,1.06
PGZ,12.28,12.41,1.06
SSI,0.574,0.5801,1.06
FXB,120.71,121.99,1.06
JPMF,21.1457,21.3705,1.06
PNBK,5.65,5.71,1.06
GSMGW,0.0848,0.0857,1.06
SLCA,1.9,1.92,1.05
JO,33.15,33.4965,1.05
SAFE,57.16,57.76,1.05
MZA,12.39,12.5199,1.05
JVA,2.86,2.89,1.05
NMS,12.9,13.035,1.05
OESX,4.76,4.81,1.05
SMMCU,10.43,10.54,1.05
VTX.PA,1.336,1.35,1.05
DDOG,44.65,45.12,1.05
SH,23.95,24.2,1.04
NUS,28.91,29.21,1.04
IRTC,104.55,105.64,1.04
VIXM,38.56,38.96,1.04
IBKCP,23.99,24.24,1.04
GJR,22.4653,22.7,1.04
MUE,11.49,11.61,1.04
GILD,83.14,84.0,1.03
TECD,139.21,140.64,1.03
EPRT,14.54,14.69,1.03
ALTEV.PA,97.2,98.2,1.03
HCCO,9.75,9.85,1.03
BATL,4.85,4.9,1.03
CRWS,4.92,4.97,1.02
TKC,4.92,4.97,1.02
EKSO,3.91,3.95,1.02
STPP,24.5,24.75,1.02
BAR.TO,0.49,0.495,1.02
AGFS,1.99,2.01,1.01
STAR,9.92,10.02,1.01
CORN,11.9,12.02,1.01
HJV,0.99,1.0,1.01
JBN,0.99,1.0,1.01
PAT.PA,14.8,14.95,1.01
HIU.TO,22.68,22.91,1.01
RILYI,22.74,22.97,1.01
MSFT,177.43,179.21,1.0
HTZ,4.0,4.04,1.0
UNIT,6.99,7.06,1.0
INVA,14.04,14.18,1.0
GAIA,9.0,9.09,1.0
MUI,13.0,13.13,1.0
BNSO,2.0,2.02,1.0
HMG,8.99,9.08,1.0
XVZ,36.7063,37.0727,1.0
TKWY.AS,92.1,93.02,1.0
CVE.TO,5.0,5.05,1.0
SDCI,12.6876,12.8143,1.0
KRMD,11.96,12.08,1.0
TEDU,5.05,5.1,0.99
TBF,15.18,15.33,0.99
SNOA,5.04,5.09,0.99
PCM,9.06,9.15,0.99
GMHI,10.15,10.25,0.99
BCP.LS,0.101,0.102,0.99
PXT.TO,15.11,15.26,0.99
HTHT,35.66,36.01,0.98
PAM,10.22,10.32,0.98
DLT.PA,10.2,10.3,0.98
ALWED.PA,20.4,20.6,0.98
RQK.TO,19.39,19.58,0.98
FRO,9.27,9.36,0.97
IGI,19.51,19.7,0.97
FXF,94.2328,95.15,0.97
BFY,12.39,12.51,0.97
PRVB,11.33,11.44,0.97
ACCB.BR,0.0515,0.052,0.97
PE,9.36,9.45,0.96
BKN,14.61,14.75,0.96
INOD,1.04,1.05,0.96
VASTN.AS,16.6,16.76,0.96
RWGV,70.9118,71.59,0.96
CRM,160.43,161.95,0.95
CFMS,0.7615,0.7687,0.95
UCIB,10.49,10.59,0.95
VERU,3.2,3.23,0.94
CMCL,12.76,12.88,0.94
CBON,22.45,22.66,0.94
BEST,5.32,5.37,0.94
CLPS,2.13,2.15,0.94
IPLDP,25.46,25.7,0.94
HOMI.BR,106.5,107.5,0.94
SIVBP,24.59,24.82,0.94
TCRD,3.21,3.24,0.93
BTAI,36.66,37.0,0.93
PCOM,9.67,9.76,0.93
GBAB,22.52,22.73,0.93
CR.TO,0.2675,0.27,0.93
MID-UN.TO,5.36,5.41,0.93
K,64.9,65.5,0.92
COCP,0.9344,0.943,0.92
JMM,6.49,6.55,0.92
NYV,12.99,13.11,0.92
PXS,1.09,1.1,0.92
EVT.TO,98.0,98.9,0.92
HFP.TO,6.49,6.55,0.92
PTM.TO,2.17,2.19,0.92
BND.TO,17.41,17.57,0.92
SRAC,9.79,9.88,0.92
HCSG,25.26,25.49,0.91
GLU,15.4,15.5407,0.91
LUV,30.97,31.25,0.9
TWLO,111.3,112.3,0.9
LSCC,22.31,22.51,0.9
ITM,47.57,48.0,0.9
IBIO,1.11,1.12,0.9
MAV,9.97,10.06,0.9
SPDN,24.43,24.65,0.9
ACTT,9.98,10.07,0.9
CVI,23.64,23.85,0.89
NID,12.33,12.44,0.89
DSWL,2.24,2.26,0.89
EZT,25.9878,26.22,0.89
TYBS,13.7374,13.86,0.89
SI,15.76,15.9,0.89
BIO,436.27,440.1,0.88
INUV,0.2492,0.2514,0.88
INPX,1.13,1.14,0.88
ALGLD.PA,1.14,1.15,0.88
GUI.PA,2.26,2.28,0.88
QQQX,21.76,21.95,0.87
NRP,12.64,12.75,0.87
ALAC,10.608,10.7,0.87
SNC.LS,1.73,1.745,0.87
VAN.BR,22.9,23.1,0.87
CISGX,23.1,23.3,0.87
FAX,3.5,3.53,0.86
NSTG,31.49,31.76,0.86
SGBX,3.5,3.53,0.86
FLO.PA,0.116,0.117,0.86
ARX.TO,5.82,5.87,0.86
TTMIX,131.62,132.75,0.86
GMDFX,23.34,23.54,0.86
BRMK,8.12,8.19,0.86
GERN,1.18,1.19,0.85
PICB,25.79,26.01,0.85
ARKR,11.75,11.85,0.85
ISRA,31.73,32.0,0.85
PRMTX,131.33,132.45,0.85
GLBY,26.55,26.775,0.85
AGNCO,22.26,22.45,0.85
GIB,63.44,63.97,0.84
TAIT,2.39,2.41,0.84
LOCAL.PA,0.1547,0.156,0.84
TKTT.PA,8.965,9.04,0.84
FITBO,23.9,24.1,0.84
